,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,listing_type
2788,5995000.0,5.0,4.0,4341.0 ,5941200.0,15135.0,House for sale
2791,967900.0,2.0,2.0,1324.0 ,1006500.0,4200.0,Condo for sale
2795,1259000.0,3.0,5.0,2098.0 ,1291900.0,4198.0,House for sale
2797,2400000.0,5.0,6.0,6014.0 ,2400000.0,7995.0,House for sale
2800,915000.0,2.0,4.0,1386.0 ,927600.0,3650.0,House for sale
2802,2250000.0,1.0,2.0,1077.0 ,2277692.0,2737.0,House for sale
2803,759000.0,3.0,3.0,1923.0 ,784500.0,3499.0,House for sale
2804,499888.0,1.0,2.0,959.0 ,518764.0,2385.0,Condo for sale
2805,1175000.0,2.0,3.0,1850.0 ,1202800.0,4969.0,House for sale
2809,1399900.0,3.0,4.0,2064.0 ,1483100.0,3807.0,House for sale
2813,2450000.0,4.0,4.0,2894.0 ,2648648.0,4914.0,House for sale
2814,2690100.0,5.0,5.0,5481.0 ,2768300.0,7865.0,House for sale
2819,619900.0,1.0,2.0,1092.0 ,639400.0,2757.0,House for sale
2821,639000.0,2.0,3.0,1024.0 ,645400.0,2614.0,House for sale
2826,1075000.0,2.0,5.0,2068.0 ,1136500.0,2802.0,Multi-family home for sale
2828,2699450.0,2.0,3.0,1812.0 ,2699500.0,6825.0,House for sale
2834,749000.0,3.0,2.0,1104.0 ,792890.0,2949.0,Townhouse for sale
2840,1570000.0,5.0,7.0,2976.0 ,1616765.0,4909.0,Multi-family home for sale
2841,549900.0,2.0,2.0,855.0 ,560300.0,2695.0,Condo for sale
2842,465000.0,1.0,2.0,876.0 ,476434.0,2469.0,Condo for sale
2844,770000.0,2.0,3.0,1814.0 ,787200.0,3200.0,House for sale
2850,220000.0,2.0,3.0,1440.0 ,221500.0,3448.0,Home for sale
2852,415000.0,2.0,2.0,1178.0 ,423600.0,2322.0,Condo for sale
2856,1295000.0,3.0,3.0,2317.0 ,1366800.0,3924.0,House for sale
2857,1399000.0,3.0,5.0,2000.0 ,1369400.0,4598.0,House for sale
2861,570000.0,2.0,5.0,1433.0 ,530600.0,2984.0,Coming soon
2863,824900.0,3.0,5.0,2021.0 ,842000.0,3499.0,House for sale
2866,875000.0,3.0,4.0,2635.0 ,836100.0,4455.0,House for sale
2872,930000.0,2.0,3.0,1206.0 ,1027491.0,3634.0,House for sale
2874,329000.0,1.0,1.0,530.0 ,317600.0,1697.0,Condo for sale
2875,165000.0,2.0,2.0,672.0 ,186800.0,2249.0,Home for sale
2878,528000.0,1.0,2.0,798.0 ,546206.0,2300.0,Condo for sale
2879,549000.0,1.0,2.0,784.0 ,578400.0,2635.0,House for sale
2884,1599000.0,5.0,4.0,1914.0 ,1663800.0,5429.0,House for sale
2891,4300000.0,8.0,7.0,7191.0 ,4243800.0,14048.0,House for sale
2914,519000.0,2.0,2.0,831.0 ,504400.0,2410.0,Condo for sale
2916,899000.0,3.0,4.0,2138.0 ,912700.0,4133.0,House for sale
2917,599999.0,1.0,2.0,903.0 ,615000.0,2796.0,Townhouse for sale
2920,924900.0,2.0,2.0,1276.0 ,988200.0,2963.0,House for sale
2925,1390000.0,4.0,4.0,2085.0 ,1457200.0,3166.0,House for sale
2941,1250000.0,3.0,4.0,2124.0 ,1374100.0,4134.0,House for sale
2945,899000.0,2.0,3.0,1046.0 ,919000.0,3394.0,House for sale
2946,1569000.0,2.0,3.0,1816.0 ,1658700.0,4264.0,House for sale
2948,1225000.0,2.0,2.0,1353.0 ,1261800.0,4058.0,Condo for sale
2953,799999.0,3.0,3.0,2162.0 ,853400.0,3200.0,House for sale
2954,2295000.0,3.0,4.0,2224.0 ,2295000.0,7743.0,House for sale
2956,599999.0,1.0,2.0,903.0 ,615000.0,2796.0,Townhouse for sale
2962,899999.0,2.0,3.0,1168.0 ,909300.0,3436.0,Coming soon
2964,1539000.0,3.0,5.0,1666.0 ,1613800.0,4274.0,Multi-family home for sale
2978,1200000.0,3.0,4.0,2118.0 ,904600.0,3395.0,Coming soon
